28/11/2015 05:40:13 | INFO: File: console.py | Function: newconsole | Message: Trying create new console with arguments: user=[root], host=[azurite], title=[TestConsole], debug=[0]!
28/11/2015 05:40:19 | INFO: File: console.py | Function: uinsplit | Message: Trying to split userinput with arguments: userinput=[shutdown 1 2 3 4], debug=[0]!
28/11/2015 05:40:34 | INFO: File: console.py | Function: newconsole | Message: Trying create new console with arguments: user=[root], host=[azurite], title=[TestConsole], debug=[0]!
28/11/2015 05:40:36 | INFO: File: console.py | Function: uinsplit | Message: Trying to split userinput with arguments: userinput=[shutdown 1 2 3 4], debug=[0]!
28/11/2015 05:40:36 | INFO: File: console.py | Function: commandanalyzer | Message: Trying to analyze command with arguments: command=[shutdown], args=[shutdown], debug=[0]!
28/11/2015 05:43:25 | INFO: File: console.py | Function: newconsole | Message: Trying create new console with arguments: user=[root], host=[azurite], title=[TestConsole], debug=[0]!
28/11/2015 05:43:27 | INFO: File: console.py | Function: uinsplit | Message: Trying to split userinput with arguments: userinput=[shutdown 1 2 3 4], debug=[0]!
28/11/2015 05:43:27 | INFO: File: console.py | Function: commandanalyzer | Message: Trying to analyze command with arguments: command=[shutdown], args=[shutdown], debug=[0]!
28/11/2015 05:43:45 | INFO: File: console.py | Function: newconsole | Message: Trying create new console with arguments: user=[root], host=[azurite], title=[TestConsole], debug=[0]!
28/11/2015 05:43:46 | INFO: File: console.py | Function: uinsplit | Message: Trying to split userinput with arguments: userinput=[print splitted], debug=[0]!
28/11/2015 05:43:46 | INFO: File: console.py | Function: commandanalyzer | Message: Trying to analyze command with arguments: command=[print], args=[print], debug=[0]!
28/11/2015 05:44:01 | INFO: File: console.py | Function: uinsplit | Message: Trying to split userinput with arguments: userinput=[shutdown 1 2 3], debug=[0]!
28/11/2015 05:44:01 | INFO: File: console.py | Function: commandanalyzer | Message: Trying to analyze command with arguments: command=[shutdown], args=[shutdown], debug=[0]!
28/11/2015 05:44:42 | INFO: File: console.py | Function: newconsole | Message: Trying create new console with arguments: user=[root], host=[azurite], title=[TestConsole], debug=[0]!
28/11/2015 05:44:43 | INFO: File: console.py | Function: uinsplit | Message: Trying to split userinput with arguments: userinput=[], debug=[0]!
